,cdf,"Deadline Miss Rate with 0.03s TBT Deadline, 0.3s TTFT Deadline, 0.0s TTFT Slack, Using Predictions for TTFT: False "
0,0.0,0.0
1,0.01,0.0
2,0.02,0.0
3,0.03,0.0
4,0.04,0.0
5,0.05,0.0
6,0.06,0.0
7,0.07,0.0
8,0.08,0.0
9,0.09,0.0
10,0.1,0.0
11,0.11,0.0
12,0.12,0.0
13,0.13,0.0
14,0.14,0.0
15,0.15,0.0
16,0.16,0.0
17,0.17,0.0
18,0.18,0.0
19,0.19,0.0
20,0.2,0.0
21,0.21,0.0
22,0.22,0.0
23,0.23,0.0
24,0.24,0.0
25,0.25,0.0024713208825902894
26,0.26,0.003243823960663577
27,0.27,0.003985859358557966
28,0.28,0.00522133453525373
29,0.29,0.0057474314997432475
30,0.3,0.006690931552625862
31,0.31,0.007513888804862196
32,0.32,0.007867600814983621
33,0.33,0.008337414725090739
34,0.34,0.00876488326506922
35,0.35000000000000003,0.00984292810699602
36,0.36,0.00990216322302583
37,0.37,0.011120088854624748
38,0.38,0.011164658304373295
39,0.39,0.011504672884830045
40,0.4,0.012338856079540583
41,0.41000000000000003,0.012714630318108891
42,0.42,0.014479782517199776
43,0.43,0.014713322452639456
44,0.44,0.015375162570294712
45,0.45,0.01574863028273627
46,0.46,0.01626073662495146
47,0.47000000000000003,0.01652300101856939
48,0.48,0.017404928768170222
49,0.49,0.018006871588826297
50,0.5,0.01942874101419474
51,0.51,0.02046576484666739
52,0.52,0.02083748417540145
53,0.53,0.02298297033153271
54,0.54,0.02354123417528636
55,0.55,0.024404158334272612
56,0.56,0.024748219473968578
57,0.5700000000000001,0.02633117416354552
58,0.58,0.026916879323883557
59,0.59,0.029866982578078374
60,0.6,0.03387758718159356
61,0.61,0.03449290520467356
62,0.62,0.035828858402644215
63,0.63,0.03827334463327591
64,0.64,0.039835309989829766
65,0.65,0.039994970390930897
66,0.66,0.04137818118195694
67,0.67,0.045184483687239964
68,0.68,0.04684075974714052
69,0.6900000000000001,0.04778700618048432
70,0.7000000000000001,0.049340920933777434
71,0.71,0.05114955477104179
72,0.72,0.05228731482656824
73,0.73,0.055298944081633106
74,0.74,0.05755573756903646
75,0.75,0.05942730720466924
76,0.76,0.06476425732235798
77,0.77,0.06660328335670263
78,0.78,0.06904468391575412
79,0.79,0.07375537765970896
80,0.8,0.07661201533830812
81,0.81,0.0810246914806502
82,0.8200000000000001,0.0828269878621278
83,0.8300000000000001,0.08586308224486518
84,0.84,0.093761468682461
85,0.85,0.09837178311571189
86,0.86,0.10529374636691571
87,0.87,0.11003010864730198
88,0.88,0.12208946284189441
89,0.89,0.13655863943609645
90,0.9,0.1447132408020166
91,0.91,0.1485251261086259
92,0.92,0.15897614602756968
93,0.93,0.2074217696085098
94,0.9400000000000001,0.21849306436201546
95,0.9500000000000001,0.26263213670805474
96,0.96,0.2873653386814699
97,0.97,0.3137995457275673
98,0.98,0.3240035275765469
99,0.99,0.41106628655534155
100,1.0,0.5236138909149227
