Number of Prompt Tokens (Mean),Number of Prompt Tokens (P50),Number of Prompt Tokens (P90),Number of Prompt Tokens (P99)
2274.93750,1738.88953,5458.89883,6884.32554
452.15625,427.94793,868.70340,1001.24730
2727.09375,2268.79033,6020.96245,7413.08878
0.01448,0.01442,0.01626,0.01758
0.14438,0.11180,0.28451,0.39574
0.01457,0.01321,0.01428,0.04703
6.71909,6.37893,12.74323,15.07444
0.01525,0.01492,0.01672,0.02139
66.84633,66.88675,75.56558,83.34603
0.00186,0.00000,0.00204,0.01402
39062500.01307,0.01355,0.01495,0.01610
