Number of Prompt Tokens (Mean),Number of Prompt Tokens (P50),Number of Prompt Tokens (P90),Number of Prompt Tokens (P99)
6475.93750,7793.16610,8078.83129,8160.02492
184.55469,160.93510,308.89500,455.32049
6660.49219,8030.50342,8192.73040,8192.73040
0.01725,0.01569,0.02460,0.03429
0.34194,0.34750,0.51427,0.73712
0.01713,0.01219,0.01495,0.25133
3.48696,3.05567,6.04360,9.23500
0.01978,0.01819,0.02796,0.04230
55.50062,54.54362,74.21757,89.92725
0.05831,0.02055,0.14853,0.41107
0.02451,0.01779,0.04367,0.11270
