Number of Prompt Tokens (Mean),Number of Prompt Tokens (P50),Number of Prompt Tokens (P90),Number of Prompt Tokens (P99)
6548.60870,7871.48874,8095.00513,8160.02492
184.39614,171.91518,313.87707,455.32049
6733.00483,8192.73040,8192.73040,8192.73040
0.02326,0.02096,0.03395,0.05187
0.46542,0.46533,0.72833,1.06503
0.02287,0.01442,0.01659,0.40293
4.66027,4.22492,7.93275,11.46158
0.02671,0.02411,0.03928,0.06014
41.33211,41.47126,55.42334,70.17562
0.12479,0.08450,0.30944,0.52048
0.03958,0.02746,0.07346,0.20210
